PCode,idCategory,idMaterial,idColor,idWebsite,PName,PPrice,PMaterial,Color,PDescription,Brand,Paddress,PisAvailable
mtdps18303-maroon,1,1,1,1,Cross-Over Satin Top  ,3200,Satin,Maroon,Cross-Over Satin Top The model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdps18303-maroon.html,
mtdps18302-black,1,1,1,1,Digital Printed Satin Top ,3200,Satin,Black,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdps18302-black.html,
mtdps18301-golden,1,1,1,1,Digital Printed Satin Top ,3200,Satin,Golden,Digital Printed Satin TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdps18301-golden.html,
mtdpe18303-green,1,1,1,1,Embroidered Top ,2600,Lawn,Green,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18303-green.html,
mtdpe18303-brown,1,1,1,1,Embroidered Top ,2600,Lawn,Brown,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18303-brown.html,
mtdpe18302-blue,1,1,1,1,Embroidered Top ,2800,Lawn,Blue,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18302-blue.html,
mtdpe18302-black,1,1,1,1,Embroidered Top ,2800,Lawn,Black,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18302-black.html,
mtdpe18301-blue,1,1,1,1,Embroidered Top ,2600,Lawn,Blue,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18301-blue.html,
mtdpe18301-grey,1,1,1,1,Embroidered Top ,2600,Lawn,Grey,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18301-grey.html,
mtdp18303-grey,1,1,1,1,Digital Printed Top ,2400,Lawn,Grey,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18303-grey.html,
mtdp18303-blue,1,1,1,1,Digital Printed Top ,2400,Lawn,Blue,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18303-blue.html,
mtdp18301a-red,1,1,1,1,Digital Printed Top ,2500,Lawn,Red,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18301a-red.html,
mtdp18301a-black,1,1,1,1,Digital Printed Top ,2500,Lawn,Black,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18301a-black.html,
mtdp18301-blue,1,1,1,1,Digital Printed Top ,2400,Lawn,Blue,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18301-blue.html,
etsp18303-blue,1,1,1,1,Satin Printed Kurta ,3500,Satin,Blue,Satin Printed KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etsp18303-blue.html,
etpe18303-pink,1,1,1,1,Embroidered Kurta ,2900,Lawn,Pink,Embroidered KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18303-pink.html,
etpe18302-black,1,1,1,1,Embroidered Kurta ,2900,Lawn,Black,Embroidered KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18302-black.html,
etpe18301-beige,1,1,1,1,Embroidered Kurta ,3000,Lawn,Beige,Embroidered KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18301-beige.html,
etp18301a-grey,1,1,1,1,Printed Lawn Top ,2200,Lawn,Grey,Printed Lawn TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etp18301a-grey.html,
etp18301a-blue,1,1,1,1,Printed Lawn Top ,2200,Lawn,Blue,Printed Lawn TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etp18301a-blue.html,
etdpe18305-yellow,1,1,1,1,Embroidered Kurta ,3400,Lawn,Yellow,Embroidered KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18305-yellow.html,
etspe18201-purple,1,1,1,1,Printed Satin Angarkha ,4900,Satin,Purple,"Embroidered Kurta

The model is wearing size 8
Model Height: 168cm/5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/etspe18201-purple.html,
etdpe18312-beige,1,1,1,1,Printed Embroidered Kurta ,3200,Lawn,Beige,Embroidery on the Cuff,Khaadi,https://www.khaadi.com/pk/etdpe18312-beige.html,
ete18241-black,1,1,1,1,Embroidered Kurta ,3900,Cotton,Black,Embroidered Kurta  The model is wearing size 8 Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/ete18241-black.html,
mtdp18301-black,1,1,1,1,Digital Printed Top ,2400,Lawn,Black,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18301-black.html,
etdpe18310-green,1,1,1,1,Digital Printed Kurta ,3200,Lawn,Green,Digital Printed KurtaThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18310-green.html,
etdpe18302-blue,1,1,1,1,Embroidered Kurta ,3200,Lawn,Blue,Digital Printed KurtaThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18302-blue.html,
etdpe18301-blue,1,1,1,1,Embroidered Kurta ,3200,Lawn,Blue,Digital Printed KurtaThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18301-blue.html,
kddpe18305-green,1,1,1,1,Embroidered Kurta with Dupatta ,4900,Lawn,Green,Embroidered Kurta with DupattaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/kddpe18305-green.html,
etspe18202-grey,1,1,1,1,Embroidered Kurta ,4900,Satin,Grey,"Embroidered Satin Kurta The model is wearing size 8
Model Height: 168cm/5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/etspe18202-grey.html,
